"quadrat_code","Exploitation","Anthropization"
"2FR_35_2017_1",0.371980587276866,-0.0114038006091462
"2FR_35_2017_10",0.371980587276866,-0.0114038006091462
"2FR_35_2017_11",0.371980587276866,-0.0114038006091462
"2FR_35_2017_12",0.371980587276866,-0.0114038006091462
"2FR_35_2017_13",0.371980587276866,-0.0114038006091462
"2FR_35_2017_14",0.371980587276866,-0.0114038006091462
"2FR_35_2017_15",0.371980587276866,-0.0114038006091462
"2FR_35_2017_16",0.371980587276866,-0.0114038006091462
"2FR_35_2017_17",0.371980587276866,-0.0114038006091462
"2FR_35_2017_18",0.371980587276866,-0.0114038006091462
"2FR_35_2017_19",0.371980587276866,-0.0114038006091462
"2FR_35_2017_2",0.371980587276866,-0.0114038006091462
"2FR_35_2017_20",0.371980587276866,-0.0114038006091462
"2FR_35_2017_21",0.371980587276866,-0.0114038006091462
"2FR_35_2017_22",0.371980587276866,-0.0114038006091462
"2FR_35_2017_23",0.371980587276866,-0.0114038006091462
"2FR_35_2017_24",0.371980587276866,-0.0114038006091462
"2FR_35_2017_25",0.371980587276866,-0.0114038006091462
"2FR_35_2017_26",0.371980587276866,-0.0114038006091462
"2FR_35_2017_27",0.371980587276866,-0.0114038006091462
"2FR_35_2017_28",0.371980587276866,-0.0114038006091462
"2FR_35_2017_29",0.371980587276866,-0.0114038006091462
"2FR_35_2017_3",0.371980587276866,-0.0114038006091462
"2FR_35_2017_30",0.371980587276866,-0.0114038006091462
"2FR_35_2017_4",0.371980587276866,-0.0114038006091462
"2FR_35_2017_5",0.371980587276866,-0.0114038006091462
"2FR_35_2017_6",0.371980587276866,-0.0114038006091462
"2FR_35_2017_7",0.371980587276866,-0.0114038006091462
"2FR_35_2017_8",0.371980587276866,-0.0114038006091462
"2FR_35_2017_9",0.371980587276866,-0.0114038006091462
"AGA_30_2010_1",0.474401397915567,-0.113572519167744
"AGA_30_2010_10",0.474401397915567,-0.113572519167744
"AGA_30_2010_11",0.474401397915567,-0.113572519167744
"AGA_30_2010_12",0.474401397915567,-0.113572519167744
"AGA_30_2010_13",0.474401397915567,-0.113572519167744
"AGA_30_2010_14",0.474401397915567,-0.113572519167744
"AGA_30_2010_15",0.474401397915567,-0.113572519167744
"AGA_30_2010_16",0.474401397915567,-0.113572519167744
"AGA_30_2010_17",0.474401397915567,-0.113572519167744
"AGA_30_2010_18",0.474401397915567,-0.113572519167744
"AGA_30_2010_19",0.474401397915567,-0.113572519167744
"AGA_30_2010_2",0.474401397915567,-0.113572519167744
"AGA_30_2010_20",0.474401397915567,-0.113572519167744
"AGA_30_2010_21",0.474401397915567,-0.113572519167744
"AGA_30_2010_22",0.474401397915567,-0.113572519167744
"AGA_30_2010_23",0.474401397915567,-0.113572519167744
"AGA_30_2010_24",0.474401397915567,-0.113572519167744
"AGA_30_2010_25",0.474401397915567,-0.113572519167744
"AGA_30_2010_26",0.474401397915567,-0.113572519167744
"AGA_30_2010_27",0.474401397915567,-0.113572519167744
"AGA_30_2010_28",0.474401397915567,-0.113572519167744
"AGA_30_2010_29",0.474401397915567,-0.113572519167744
"AGA_30_2010_3",0.474401397915567,-0.113572519167744
"AGA_30_2010_30",0.474401397915567,-0.113572519167744
"AGA_30_2010_4",0.474401397915567,-0.113572519167744
"AGA_30_2010_5",0.474401397915567,-0.113572519167744
"AGA_30_2010_6",0.474401397915567,-0.113572519167744
"AGA_30_2010_7",0.474401397915567,-0.113572519167744
"AGA_30_2010_8",0.474401397915567,-0.113572519167744
"AGA_30_2010_9",0.474401397915567,-0.113572519167744
"AGA_30_2013_1",0.474401397915567,-0.113572519167744
"AGA_30_2013_10",0.474401397915567,-0.113572519167744
"AGA_30_2013_11",0.474401397915567,-0.113572519167744
"AGA_30_2013_12",0.474401397915567,-0.113572519167744
"AGA_30_2013_13",0.474401397915567,-0.113572519167744
"AGA_30_2013_14",0.474401397915567,-0.113572519167744
"AGA_30_2013_15",0.474401397915567,-0.113572519167744
"AGA_30_2013_16",0.474401397915567,-0.113572519167744
"AGA_30_2013_17",0.474401397915567,-0.113572519167744
"AGA_30_2013_18",0.474401397915567,-0.113572519167744
"AGA_30_2013_19",0.474401397915567,-0.113572519167744
"AGA_30_2013_2",0.474401397915567,-0.113572519167744
"AGA_30_2013_20",0.474401397915567,-0.113572519167744
"AGA_30_2013_21",0.474401397915567,-0.113572519167744
"AGA_30_2013_22",0.474401397915567,-0.113572519167744
"AGA_30_2013_23",0.474401397915567,-0.113572519167744
"AGA_30_2013_24",0.474401397915567,-0.113572519167744
"AGA_30_2013_25",0.474401397915567,-0.113572519167744
